Metabolites,Class,Treatment type,Treatment concentration,Replicate,Metabolite concentration
"Myristic acid, TMS",Fatty acids,SH,0.06,1,0.880657706
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.06,1,0.162559809
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.06,1,0.483278736
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.06,1,0.122974515
"2-Palmitoylglycerol, 2TMS",,SH,0.06,1,0.571538177
"Altronic acid, 1,4-lactone, TMS",,SH,0.06,1,-0.252836088
"Uridine, tris-TMS",Nucleic acids,SH,0.06,1,0.852131752
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.06,1,1.949713585
Monostearin TMS,,SH,0.06,1,-0.669259353
Adenine 2TMS,Nucleic acids,SH,0.06,2,0.861291744
Serine 3TMS,Amino acids,SH,0.06,2,0.22100108
L-Threonine 3TMS,Amino acids,SH,0.06,2,-0.414757749
Malic acid 3TMS,Organic acids,SH,0.06,2,-0.962883464
L-Aspartic acid 3TMS,Amino acids,SH,0.06,2,0.516853159
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.06,2,-0.771029287
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.06,2,0.832334296
Tryptamine,Alkaloids,SH,0.06,2,-0.006683624
Phenylpyruvic acid oxime 2TMS,,SH,0.06,2,0.395989985
L-Glutamine 3TMS,Amino acids,SH,0.06,2,-0.13782847
L-phenylalanine 2TMS,Amino acids,SH,0.06,2,0.383194219
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.06,2,0.650631111
2-Keto-L-gulonic acid,Carbohydrates,SH,0.06,2,-1.153302954
"Arabinose, 4TMS",Carbohydrates,SH,0.06,2,-0.681900462
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.06,2,-0.346643395
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.06,2,-0.57654951
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.06,2,0.552042739
Glyceric acid 3TMS,Organic acids,SH,0.06,2,-0.349688143
"Lactose, TMS",Carbohydrates,SH,0.06,2,-0.266104447
β-D-Glucopyranose TMS,Carbohydrates,SH,0.06,2,-0.261486832
5-Methoxyindoleacetic acid,Indoles,SH,0.06,2,1.638943479
Erythrose MEOX-3TMS,Carbohydrates,SH,0.06,2,0.261069449
Glucose-MOX-5TMS-PK16,Carbohydrates,SH,0.06,2,-0.642460266
"Xylose, TMS",Carbohydrates,SH,0.06,2,0.036210248
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.06,2,0.258230973
"Palmitic acid, TMS",Fatty acids,SH,0.06,2,0.771104324
L-Rhamnose 4TMS,Carbohydrates,SH,0.06,2,0.884711535
"Myristic acid, TMS",Fatty acids,SH,0.06,2,0.966294847
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.06,2,0.93098751
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.06,2,0.47035016
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.06,2,0.359953593
"2-Palmitoylglycerol, 2TMS",,SH,0.06,2,1.124936454
"Altronic acid, 1,4-lactone, TMS",,SH,0.06,2,-0.135157845
"Uridine, tris-TMS",Nucleic acids,SH,0.06,2,0.84773219
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.06,2,1.611067019
Monostearin TMS,,SH,0.06,2,-0.571547482
Adenine 2TMS,Nucleic acids,SH,0.06,3,0.720700656
Serine 3TMS,Amino acids,SH,0.06,3,0.227569555
L-Threonine 3TMS,Amino acids,SH,0.06,3,-0.1826861
Malic acid 3TMS,Organic acids,SH,0.06,3,-1.065354271
L-Aspartic acid 3TMS,Amino acids,SH,0.06,3,0.419710052
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.06,3,-0.838381045
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.06,3,-0.285529684
Tryptamine,Alkaloids,SH,0.06,3,-0.390494771
Phenylpyruvic acid oxime 2TMS,,SH,0.06,3,0.182180054
L-Glutamine 3TMS,Amino acids,SH,0.06,3,-0.172783157
L-phenylalanine 2TMS,Amino acids,SH,0.06,3,0.297695696
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.06,3,-0.105578893
2-Keto-L-gulonic acid,Carbohydrates,SH,0.06,3,-1.231744969
"Arabinose, 4TMS",Carbohydrates,SH,0.06,3,-0.843830851
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.06,3,-0.369376878
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.06,3,-0.656477252
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.06,3,-0.910947093
Glyceric acid 3TMS,Organic acids,SH,0.06,3,0.881967557
"Lactose, TMS",Carbohydrates,SH,0.06,3,-0.817269577
β-D-Glucopyranose TMS,Carbohydrates,SH,0.06,3,-0.505820538
5-Methoxyindoleacetic acid,Indoles,SH,0.06,3,1.377135068
Erythrose MEOX-3TMS,Carbohydrates,SH,0.06,3,-1.391367155
Glucose-MOX-5TMS-PK17,Carbohydrates,SH,0.06,3,-0.653776122
"Xylose, TMS",Carbohydrates,SH,0.06,3,-0.168132371
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.06,3,0.121574702
"Palmitic acid, TMS",Fatty acids,SH,0.06,3,0.492705327
L-Rhamnose 4TMS,Carbohydrates,SH,0.06,3,0.616230304
"Myristic acid, TMS",Fatty acids,SH,0.06,3,0.711214654
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.06,3,0.504839097
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.06,3,0.396348862
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.06,3,0.256627136
"2-Palmitoylglycerol, 2TMS",,SH,0.06,3,0.727291004
"Altronic acid, 1,4-lactone, TMS",,SH,0.06,3,1.185772211
"Uridine, tris-TMS",Nucleic acids,SH,0.06,3,0.70351764
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.06,3,0.084582825
Monostearin TMS,,SH,0.06,3,-0.695703688
Adenine 2TMS,Nucleic acids,SH,0.06,4,1.284388004
Serine 3TMS,Amino acids,SH,0.06,4,0.626038184
L-Threonine 3TMS,Amino acids,SH,0.06,4,0.072567923
Malic acid 3TMS,Organic acids,SH,0.06,4,-0.378263269
L-Aspartic acid 3TMS,Amino acids,SH,0.06,4,1.071077658
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.06,4,-0.386771576
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.06,4,1.388436241
Tryptamine,Alkaloids,SH,0.06,4,0.510096525
Phenylpyruvic acid oxime 2TMS,,SH,0.06,4,0.473589616
L-Glutamine 3TMS,Amino acids,SH,0.06,4,0.061598893
L-phenylalanine 2TMS,Amino acids,SH,0.06,4,0.870983701
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.06,4,0.857362582
2-Keto-L-gulonic acid,Carbohydrates,SH,0.06,4,-0.705771683
"Arabinose, 4TMS",Carbohydrates,SH,0.06,4,0.24195069
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.06,4,-0.216943503
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.06,4,-0.12054271
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.06,4,0.583198247
Glyceric acid 3TMS,Organic acids,SH,0.06,4,-0.026882379
"Lactose, TMS",Carbohydrates,SH,0.06,4,-0.053279901
β-D-Glucopyranose TMS,Carbohydrates,SH,0.06,4,0.39085335
5-Methoxyindoleacetic acid,Indoles,SH,0.06,4,-0.616589361
Erythrose MEOX-3TMS,Carbohydrates,SH,0.06,4,0.606425842
Glucose-MOX-5TMS-PK17,Carbohydrates,SH,0.06,4,-0.662290659
"Xylose, TMS",Carbohydrates,SH,0.06,4,0.795458645
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.06,4,0.530178139
"Palmitic acid, TMS",Fatty acids,SH,0.06,4,1.231501504
L-Rhamnose 4TMS,Carbohydrates,SH,0.06,4,1.129295767
"Myristic acid, TMS",Fatty acids,SH,0.06,4,1.262506153
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.06,4,1.343224684
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.06,4,0.779466229
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.06,4,0.949460176
"2-Palmitoylglycerol, 2TMS",,SH,0.06,4,-1.041327791
"Altronic acid, 1,4-lactone, TMS",,SH,0.06,4,0.157574098
"Uridine, tris-TMS",Nucleic acids,SH,0.06,4,0.992801582
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.06,4,1.983805296
Monostearin TMS,,SH,0.06,4,-0.532987936
Adenine 2TMS,Nucleic acids,SH,0.06,5,1.456956953
Serine 3TMS,Amino acids,SH,0.06,5,0.669675569
L-Threonine 3TMS,Amino acids,SH,0.06,5,0.110455828
Malic acid 3TMS,Organic acids,SH,0.06,5,-0.227863449
L-Aspartic acid 3TMS,Amino acids,SH,0.06,5,1.213657871
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.06,5,-0.287917155
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.06,5,1.519684718
Tryptamine,Alkaloids,SH,0.06,5,0.525292336
Phenylpyruvic acid oxime 2TMS,,SH,0.06,5,0.4463374
L-Glutamine 3TMS,Amino acids,SH,0.06,5,0.112904088
L-phenylalanine 2TMS,Amino acids,SH,0.06,5,0.996472806
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.06,5,0.971408895
2-Keto-L-gulonic acid,Carbohydrates,SH,0.06,5,-0.590639317
"Arabinose, 4TMS",Carbohydrates,SH,0.06,5,0.479621311
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.06,5,-0.183576814
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.06,5,-0.003230048
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.06,5,0.571201085
Glyceric acid 3TMS,Organic acids,SH,0.06,5,1.497317133
"Lactose, TMS",Carbohydrates,SH,0.06,5,-0.426376313
β-D-Glucopyranose TMS,Carbohydrates,SH,0.06,5,0.67728153
5-Methoxyindoleacetic acid,Indoles,SH,0.06,5,-0.536716971
Erythrose MEOX-3TMS,Carbohydrates,SH,0.06,5,0.299751708
Glucose-MOX-5TMS-PK18,Carbohydrates,SH,0.06,5,1.094507061
"Xylose, TMS",Carbohydrates,SH,0.06,5,0.683311838
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.06,5,0.595266941
"Palmitic acid, TMS",Fatty acids,SH,0.06,5,1.569831731
L-Rhamnose 4TMS,Carbohydrates,SH,0.06,5,0.987974087
"Myristic acid, TMS",Fatty acids,SH,0.06,5,1.478262543
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.06,5,1.463245718
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.06,5,0.447946256
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.06,5,1.101117731
"2-Palmitoylglycerol, 2TMS",,SH,0.06,5,-0.914328682
"Altronic acid, 1,4-lactone, TMS",,SH,0.06,5,1.5085687
"Uridine, tris-TMS",Nucleic acids,SH,0.06,5,0.736597534
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.06,5,2.056423273
Monostearin TMS,,SH,0.06,5,-0.494842285
Adenine 2TMS,Nucleic acids,SH,0.125,1,0.665720485
Serine 3TMS,Amino acids,SH,0.125,1,0.839207796
L-Threonine 3TMS,Amino acids,SH,0.125,1,0.166299248
Malic acid 3TMS,Organic acids,SH,0.125,1,-1.329891961
L-Aspartic acid 3TMS,Amino acids,SH,0.125,1,0.168926345
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.125,1,0.635374947
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.125,1,-0.455094547
Tryptamine,Alkaloids,SH,0.125,1,0.808892572
Phenylpyruvic acid oxime 2TMS,,SH,0.125,1,0.90370023
L-Glutamine 3TMS,Amino acids,SH,0.125,1,0.767792612
L-phenylalanine 2TMS,Amino acids,SH,0.125,1,0.076973588
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.125,1,-0.195505095
2-Keto-L-gulonic acid,Carbohydrates,SH,0.125,1,0.985369021
"Arabinose, 4TMS",Carbohydrates,SH,0.125,1,2.052084617
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.125,1,0.051321914
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.125,1,-0.862817909
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.125,1,0.716595566
Glyceric acid 3TMS,Organic acids,SH,0.125,1,-0.552336742
"Lactose, TMS",Carbohydrates,SH,0.125,1,2.149805807
β-D-Glucopyranose TMS,Carbohydrates,SH,0.125,1,0.921112708
5-Methoxyindoleacetic acid,Indoles,SH,0.125,1,-1.121966515
Erythrose MEOX-3TMS,Carbohydrates,SH,0.125,1,-0.035511443
Glucose-MOX-5TMS-PK18,Carbohydrates,SH,0.125,1,1.473017497
"Xylose, TMS",Carbohydrates,SH,0.125,1,0.86349427
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.125,1,0.83123253
"Palmitic acid, TMS",Fatty acids,SH,0.125,1,0.692985506
L-Rhamnose 4TMS,Carbohydrates,SH,0.125,1,1.388409067
"Myristic acid, TMS",Fatty acids,SH,0.125,1,-0.596223603
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.125,1,0.928792473
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.125,1,1.197376297
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.125,1,-0.010117117
"2-Palmitoylglycerol, 2TMS",,SH,0.125,1,1.054626612
"Altronic acid, 1,4-lactone, TMS",,SH,0.125,1,-0.318926923
"Uridine, tris-TMS",Nucleic acids,SH,0.125,1,0.698601794
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.125,1,2.04620678
Monostearin TMS,,SH,0.125,1,-0.668262111
Adenine 2TMS,Nucleic acids,SH,0.125,2,0.669801872
Serine 3TMS,Amino acids,SH,0.125,2,0.934200336
L-Threonine 3TMS,Amino acids,SH,0.125,2,0.204060468
Malic acid 3TMS,Organic acids,SH,0.125,2,-1.182807878
L-Aspartic acid 3TMS,Amino acids,SH,0.125,2,0.308363145
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.125,2,0.704915548
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.125,2,-0.360815761
Tryptamine,Alkaloids,SH,0.125,2,0.85331003
Phenylpyruvic acid oxime 2TMS,,SH,0.125,2,0.940584919
L-Glutamine 3TMS,Amino acids,SH,0.125,2,-0.212848447
L-phenylalanine 2TMS,Amino acids,SH,0.125,2,0.199696001
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.125,2,0.421416955
2-Keto-L-gulonic acid,Carbohydrates,SH,0.125,2,1.075388744
"Arabinose, 4TMS",Carbohydrates,SH,0.125,2,-1.029437943
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.125,2,-0.395434344
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.125,2,-0.748091638
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.125,2,-0.834407291
Glyceric acid 3TMS,Organic acids,SH,0.125,2,-0.471122317
"Lactose, TMS",Carbohydrates,SH,0.125,2,-0.34986851
β-D-Glucopyranose TMS,Carbohydrates,SH,0.125,2,0.884187665
5-Methoxyindoleacetic acid,Indoles,SH,0.125,2,0.984994
Erythrose MEOX-3TMS,Carbohydrates,SH,0.125,2,0.705383791
Glucose-MOX-5TMS-PK19,Carbohydrates,SH,0.125,2,0.68800686
"Xylose, TMS",Carbohydrates,SH,0.125,2,0.873157741
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.125,2,0.81581544
"Palmitic acid, TMS",Fatty acids,SH,0.125,2,0.696177339
L-Rhamnose 4TMS,Carbohydrates,SH,0.125,2,1.223777061
"Myristic acid, TMS",Fatty acids,SH,0.125,2,0.938546885
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.125,2,0.465390032
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.125,2,0.416232188
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.125,2,0.138193322
"2-Palmitoylglycerol, 2TMS",,SH,0.125,2,-1.720692959
"Altronic acid, 1,4-lactone, TMS",,SH,0.125,2,1.545551487
"Uridine, tris-TMS",Nucleic acids,SH,0.125,2,1.018377812
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.125,2,0.008250075
Monostearin TMS,,SH,0.125,2,-0.594999942
Adenine 2TMS,Nucleic acids,SH,0.125,3,1.883421052
Serine 3TMS,Amino acids,SH,0.125,3,1.516879975
L-Threonine 3TMS,Amino acids,SH,0.125,3,0.531600585
Malic acid 3TMS,Organic acids,SH,0.125,3,0.06034711
L-Aspartic acid 3TMS,Amino acids,SH,0.125,3,1.486883754
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.125,3,1.377701465
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.125,3,2.115513346
Tryptamine,Alkaloids,SH,0.125,3,1.610872431
Phenylpyruvic acid oxime 2TMS,,SH,0.125,3,1.246037821
L-Glutamine 3TMS,Amino acids,SH,0.125,3,0.211220193
L-phenylalanine 2TMS,Amino acids,SH,0.125,3,1.236947075
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.125,3,1.868877979
2-Keto-L-gulonic acid,Carbohydrates,SH,0.125,3,1.813893543
"Arabinose, 4TMS",Carbohydrates,SH,0.125,3,0.935068548
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.125,3,-0.119636364
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.125,3,0.221575732
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.125,3,-0.725494867
Glyceric acid 3TMS,Organic acids,SH,0.125,3,0.215302132
"Lactose, TMS",Carbohydrates,SH,0.125,3,-0.15416931
β-D-Glucopyranose TMS,Carbohydrates,SH,0.125,3,3.058658184
5-Methoxyindoleacetic acid,Indoles,SH,0.125,3,0.95430848
Erythrose MEOX-3TMS,Carbohydrates,SH,0.125,3,-0.638220151
Glucose-MOX-5TMS-PK19,Carbohydrates,SH,0.125,3,-0.329327966
"Xylose, TMS",Carbohydrates,SH,0.125,3,2.212684624
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.125,3,1.89724677
"Palmitic acid, TMS",Fatty acids,SH,0.125,3,1.877395373
L-Rhamnose 4TMS,Carbohydrates,SH,0.125,3,-0.233293199
"Myristic acid, TMS",Fatty acids,SH,0.125,3,1.673578787
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.125,3,2.007372254
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.125,3,1.838972246
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.125,3,1.391738788
"2-Palmitoylglycerol, 2TMS",,SH,0.125,3,0.851546183
"Altronic acid, 1,4-lactone, TMS",,SH,0.125,3,0.377195774
"Uridine, tris-TMS",Nucleic acids,SH,0.125,3,1.467924639
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.125,3,0.816172776
Monostearin TMS,,SH,0.125,3,-0.45754094
Adenine 2TMS,Nucleic acids,SH,0.125,4,0.673737743
Serine 3TMS,Amino acids,SH,0.125,4,0.981446516
L-Threonine 3TMS,Amino acids,SH,0.125,4,0.249208922
Malic acid 3TMS,Organic acids,SH,0.125,4,-1.060063002
L-Aspartic acid 3TMS,Amino acids,SH,0.125,4,0.424726215
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.125,4,0.632375958
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.125,4,-0.282138057
Tryptamine,Alkaloids,SH,0.125,4,0.911470073
Phenylpyruvic acid oxime 2TMS,,SH,0.125,4,0.908765448
L-Glutamine 3TMS,Amino acids,SH,0.125,4,0.662226071
L-phenylalanine 2TMS,Amino acids,SH,0.125,4,0.30211057
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.125,4,0.650743214
2-Keto-L-gulonic acid,Carbohydrates,SH,0.125,4,0.21902692
"Arabinose, 4TMS",Carbohydrates,SH,0.125,4,-0.835469276
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.125,4,-0.368202993
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.125,4,-0.652350035
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.125,4,0.716971928
Glyceric acid 3TMS,Organic acids,SH,0.125,4,1.336062678
"Lactose, TMS",Carbohydrates,SH,0.125,4,1.970168312
β-D-Glucopyranose TMS,Carbohydrates,SH,0.125,4,0.752390578
5-Methoxyindoleacetic acid,Indoles,SH,0.125,4,-0.019043407
Erythrose MEOX-3TMS,Carbohydrates,SH,0.125,4,-1.387827048
Glucose-MOX-5TMS-PK20,Carbohydrates,SH,0.125,4,-0.505368052
"Xylose, TMS",Carbohydrates,SH,0.125,4,0.820130789
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.125,4,0.797540614
"Palmitic acid, TMS",Fatty acids,SH,0.125,4,0.448600705
L-Rhamnose 4TMS,Carbohydrates,SH,0.125,4,-0.987491478
"Myristic acid, TMS",Fatty acids,SH,0.125,4,-0.423615472
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.125,4,0.594755094
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.125,4,1.144816403
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.125,4,1.89664301
"2-Palmitoylglycerol, 2TMS",,SH,0.125,4,0.537934761
"Altronic acid, 1,4-lactone, TMS",,SH,0.125,4,1.497066821
"Uridine, tris-TMS",Nucleic acids,SH,0.125,4,0.889408866
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.125,4,0.088021605
Monostearin TMS,,SH,0.125,4,-0.633329816
Adenine 2TMS,Nucleic acids,SH,0.125,5,0.418758314
Serine 3TMS,Amino acids,SH,0.125,5,0.765319621
L-Threonine 3TMS,Amino acids,SH,0.125,5,0.228602922
Malic acid 3TMS,Organic acids,SH,0.125,5,-1.160807398
L-Aspartic acid 3TMS,Amino acids,SH,0.125,5,0.329219765
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.125,5,0.727494024
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.125,5,-0.346713769
Tryptamine,Alkaloids,SH,0.125,5,0.320633578
Phenylpyruvic acid oxime 2TMS,,SH,0.125,5,0.570704205
L-Glutamine 3TMS,Amino acids,SH,0.125,5,0.887818348
L-phenylalanine 2TMS,Amino acids,SH,0.125,5,1.303905085
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.125,5,0.606468902
2-Keto-L-gulonic acid,Carbohydrates,SH,0.125,5,1.192856077
"Arabinose, 4TMS",Carbohydrates,SH,0.125,5,-0.994671491
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.125,5,-0.390553466
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.125,5,-0.730931157
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.125,5,-0.834096707
Glyceric acid 3TMS,Organic acids,SH,0.125,5,-0.458974461
"Lactose, TMS",Carbohydrates,SH,0.125,5,-0.422455819
β-D-Glucopyranose TMS,Carbohydrates,SH,0.125,5,0.847227834
5-Methoxyindoleacetic acid,Indoles,SH,0.125,5,-0.003909689
Erythrose MEOX-3TMS,Carbohydrates,SH,0.125,5,0.565853001
Glucose-MOX-5TMS-PK20,Carbohydrates,SH,0.125,5,-0.444793544
"Xylose, TMS",Carbohydrates,SH,0.125,5,0.902775594
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.125,5,0.858775036
"Palmitic acid, TMS",Fatty acids,SH,0.125,5,0.763268012
L-Rhamnose 4TMS,Carbohydrates,SH,0.125,5,-1.055306883
"Myristic acid, TMS",Fatty acids,SH,0.125,5,0.941146098
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.125,5,0.910535461
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.125,5,0.243761279
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.125,5,0.160377354
"2-Palmitoylglycerol, 2TMS",,SH,0.125,5,-1.702115558
"Altronic acid, 1,4-lactone, TMS",,SH,0.125,5,1.50597006
"Uridine, tris-TMS",Nucleic acids,SH,0.125,5,0.965602451
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.125,5,0.022548121
Monostearin TMS,,SH,0.125,5,1.481184261
Adenine 2TMS,Nucleic acids,SH,0.25,1,0.142869959
Serine 3TMS,Amino acids,SH,0.25,1,1.08043272
L-Threonine 3TMS,Amino acids,SH,0.25,1,0.283904233
Malic acid 3TMS,Organic acids,SH,0.25,1,1.237631381
L-Aspartic acid 3TMS,Amino acids,SH,0.25,1,1.034220214
"Pipecolic acid, TMS derivative",Alkaloids,SH,0.25,1,0.687805558
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,SH,0.25,1,-0.774705029
Tryptamine,Alkaloids,SH,0.25,1,0.631874887
Phenylpyruvic acid oxime 2TMS,,SH,0.25,1,-0.589022421
L-Glutamine 3TMS,Amino acids,SH,0.25,1,1.177441642
L-phenylalanine 2TMS,Amino acids,SH,0.25,1,1.628921872
L-(+)-Tartaric acid 4TMS,Organic acids,SH,0.25,1,0.608985777
2-Keto-L-gulonic acid,Carbohydrates,SH,0.25,1,0.476240838
"Arabinose, 4TMS",Carbohydrates,SH,0.25,1,-2.049823042
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,SH,0.25,1,-0.538686683
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,SH,0.25,1,-1.251746033
"Fructose, MEOX-5TMS",Carbohydrates,SH,0.25,1,0.800943697
Glyceric acid 3TMS,Organic acids,SH,0.25,1,-0.827658315
"Lactose, TMS",Carbohydrates,SH,0.25,1,2.164522348
β-D-Glucopyranose TMS,Carbohydrates,SH,0.25,1,0.735790923
5-Methoxyindoleacetic acid,Indoles,SH,0.25,1,0.599672978
Erythrose MEOX-3TMS,Carbohydrates,SH,0.25,1,0.733174554
Glucose-MOX-5TMS-PK21,Carbohydrates,SH,0.25,1,1.54225839
"Xylose, TMS",Carbohydrates,SH,0.25,1,0.867652144
"Myo-Inositol, 6TMS",Carbohydrates,SH,0.25,1,0.968261787
"Palmitic acid, TMS",Fatty acids,SH,0.25,1,0.401712308
L-Rhamnose 4TMS,Carbohydrates,SH,0.25,1,1.433262497
"Myristic acid, TMS",Fatty acids,SH,0.25,1,-0.915190376
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,SH,0.25,1,0.353659614
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,SH,0.25,1,0.445270173
"3,4-Dihydroxycinnamic acid, 3TMS",,SH,0.25,1,-0.512879497
"2-Palmitoylglycerol, 2TMS",,SH,0.25,1,-2.265932915
"Altronic acid, 1,4-lactone, TMS",,SH,0.25,1,1.467426078
"Uridine, tris-TMS",Nucleic acids,SH,0.25,1,0.769775964
"Mannonic acid, 1,4-lactone, (4TMS)",,SH,0.25,1,1.948739676
Monostearin TMS,,SH,0.25,1,-0.681247811
Adenine 2TMS,Nucleic acids,SH,0.25,2,1.433581987
Serine 3TMS,Amino acids,SH,0.25,2,1.242339287
L-Threonine 3TMS,Amino acids,SH,0.25,2,0.333969077
